transaction_id,timestamp,account_id,account_age_days,ip_address,device_id,sku,seller_id,amount
TXN-10039,2026-04-02 07:27:00,ACC-1039,424,10.34.164.251,DEV-44335,SKU-PHONE-859,SELLER-015,174.86
TXN-10005,2026-04-02 15:45:00,ACC-1005,223,10.21.142.76,DEV-92397,SKU-CUP-982,SELLER-012,34.82
TXN-10002,2026-04-02 17:51:00,ACC-1002,131,10.184.167.180,DEV-81426,SKU-TOY-325,SELLER-015,262.75
TXN-10031,2026-04-03 10:39:00,ACC-1031,375,10.221.61.104,DEV-25713,SKU-CUP-352,SELLER-019,38.37
TXN-10035,2026-04-04 05:33:00,ACC-1035,155,10.95.73.41,DEV-67433,SKU-PEN-820,SELLER-010,17.23
TXN-10007,2026-04-06 05:04:00,ACC-1007,216,10.42.95.91,DEV-37460,SKU-BAG-818,SELLER-030,188.6
TXN-10019,2026-04-06 15:45:00,ACC-1019,476,10.156.109.247,DEV-37760,SKU-PEN-873,SELLER-024,103.84
TXN-10032,2026-04-06 19:15:00,ACC-1032,366,10.150.145.134,DEV-51467,SKU-BAG-309,SELLER-022,90.7
TXN-10000,2026-04-07 12:43:00,ACC-1000,357,10.29.7.190,DEV-46048,SKU-LAMP-328,SELLER-005,226.09
TXN-10024,2026-04-07 19:51:00,ACC-1024,211,10.109.106.120,DEV-17100,SKU-SHOE-162,SELLER-013,260.58
TXN-10004,2026-04-07 23:34:00,ACC-1004,79,10.92.217.89,DEV-89131,SKU-BAG-926,SELLER-002,50.58
TXN-10028,2026-04-08 02:42:00,ACC-1028,229,10.68.238.201,DEV-69638,SKU-BAG-533,SELLER-023,219.75
TXN-10009,2026-04-09 19:25:00,ACC-1009,380,10.84.216.197,DEV-17331,SKU-LAMP-941,SELLER-002,91.31
TXN-10038,2026-04-10 17:02:00,ACC-1038,288,10.126.65.232,DEV-16658,SKU-SHOE-749,SELLER-014,16.01
TXN-10034,2026-04-13 20:56:00,ACC-1034,318,10.26.19.138,DEV-37938,SKU-PEN-371,SELLER-005,34.61
TXN-10016,2026-04-14 01:58:00,ACC-1016,289,10.156.51.40,DEV-59009,SKU-PHONE-652,SELLER-025,15.16
TXN-10008,2026-04-14 05:44:00,ACC-1008,117,10.137.187.63,DEV-31417,SKU-HAT-488,SELLER-009,173.73
